ID,TIPO,INSTITUCIO,CALLE,NUMERO,REFERENCIA,COLONIA,C_P_,Observacio,Alcaldía,geometry
55.0,CENTRO Y PLAZA COMERCIAL,Mercado Olivar de Conde,Erneto Uruchurtu,,,Olivar del Conde 2 sec,01400,,Álvaro Obregón,POINT (477546.19519999996 2142008.505999999)
56.0,CENTRO Y PLAZA COMERCIAL,Plaza de las Rosas,Santa Lucia,810,,Olivar de Conde 1 Secc,01400,,Álvaro Obregón,POINT (478212.16889999993 2142023.1192000005)
57.0,TIENDAS DEPARTAMENTALES_1,Elektra Santa Lucia,Santa Lucia,816,,Olivar del Conde 1 secc,01400,,Álvaro Obregón,POINT (478165.32079999987 2142070.3970999997)
58.0,CENTRO Y PLAZA COMERCIAL,Plaza Exhibimex,Calle 10,132,,Tolteca,01180,,Álvaro Obregón,POINT (479862.8362999996 2143883.1426999997)
59.0,CENTRO Y PLAZA COMERCIAL,Plaza Canario,Canario,166,,Tolteca,01150,,Álvaro Obregón,POINT (479640.9053999996 2144335.0002999995)
60.0,CENTRO Y PLAZA COMERCIAL,PLAZA OBSERVATORIO,AV OBSERVATORIO,457,,HIDALGO,01120,,Álvaro Obregón,POINT (477991.4941999996 2145083.5216000006)
61.0,TIENDAS DE AUTOSERVICIO_1,,Vasco de Quiroga,,,Santa Fé,01210,,Álvaro Obregón,POINT (475422.29470000044 2143306.2300000004)
62.0,TIENDAS DEPARTAMENTALES_1,ELEKTRA,Vasco de Quiroga,1504,,Santa Fé,01210,,Álvaro Obregón,POINT (475314.69909999985 2143230.498400001)
63.0,CENTRO Y PLAZA COMERCIAL,PLAZA,VASCO DE QUIROGA,1504,,LA MEXICANA,01260,,Álvaro Obregón,POINT (475342.41640000045 2143230.7167000007)
64.0,CENTRO Y PLAZA COMERCIAL,PLAZA,VASCO DE QUIROGA,1494,,SANTA FE,01210,,Álvaro Obregón,POINT (475388.46640000027 2143240.3194999993)
65.0,TIENDAS DEPARTAMENTALES_1,COPPEL,VASCO DE QUIROGA,1391,,SANTA FE,1391,,Álvaro Obregón,POINT (475707.76130000036 2143361.0099)
